sample_id,field_id,class,road_class,urbimpact,water_factor,soil_ph,loi_105_gkg,tc_105_gkg,tn_105_gkg,tic_105_gkg,toc_105_gkg,cn_ratio,Na_40_gkg,Mg_40_gkg,K_40_gkg,Ca_40_gkg,Mn_40_gkg,Fe_40_gkg,P_40_gkg,S_40_gkg,Cu_40_gkg,Zn_40_gkg,Pb_40_gkg,Cd_40_gkg,Al_40_gkg,Si_40_gkg,undissolved_silicates_percent,Na_105_gkg,Mg_105_gkg,K_105_gkg,Ca_105_gkg,Mn_105_gkg,Fe_105_gkg,P_105_gkg,S_105_gkg,Cu_105_gkg,Zn_105_gkg,Pb_105_gkg,Cd_105_gkg,Al_105_gkg,Si_105_gkg
26,adumanafo 3b,Short-term,uninf_road,Low,1.018740439,6.78,33.06667517,15.61064161,1.42011779,0.271395472,15.33924614,10.80139003,0.133182345,0.698412309,3.468251432,1.661026975,0.394546568,10.21936155,0.273166865,0.167447696,0.004637016,0.023789807,0.020586736,0.000550477,44.11123018,0.238345819,84.3083276,0.135678241,0.711500862,3.533247984,1.692155349,0.401940544,10.41087687,0.278286132,0.170585739,0.004723916,0.024235639,0.020972541,0.000560793,44.93789398,0.242812524
29,agric_ref 1b,Long-term,uninf_road,Mid-high,1.009151056,4.59,26.17454654,11.11641426,0.813563986,,11.11641426,13.66384752,0.054183283,0.447773474,1.196990406,0.184019213,0.234790012,20.56501487,0.23576005,0.115570064,0.005324834,0.017742584,0.017539894,0.001178741,37.59080489,0.256258474,86.49722002,0.054679117,0.451871074,1.207944132,0.185703183,0.236938589,20.75320647,0.237917503,0.116627652,0.005373562,0.017904948,0.017700403,0.001189528,37.93480043,0.25860351
32,agric_ref 2b,Long-term,uninf_road,Mid-high,1.01571416,5.03,30.46264595,11.79514505,0.774731303,,11.79514505,15.22482053,0.074091137,0.563265886,1.920818125,0.223799039,0.160240909,15.25362844,0.190814575,0.109259205,0.002713946,0.017893848,0.012186666,0.000720929,44.23746399,0.309763761,85.47641073,0.075255417,0.572117137,1.951002169,0.227315853,0.16275896,15.49332641,0.193813065,0.110976121,0.002756594,0.018175035,0.012378169,0.000732258,44.93261859,0.314631438
35,agric_ref 3b,Long-term,uninf_road,Mid-high,1.009776184,4.69,27.71319458,10.94243376,0.747759163,,10.94243376,14.63363379,0.102759089,0.550414032,2.658774297,0.160406051,0.140985378,12.61712168,0.214629492,0.118287924,0.002373126,0.019042388,0.016582384,0.000671618,46.9872852,0.304513933,85,0.103763681,0.555794981,2.684766965,0.16197421,0.142363677,12.74046899,0.216727749,0.119444328,0.002396326,0.01922855,0.016744496,0.000678184,47.44664155,0.307490918
38,agric_ref 4b,Long-term,uninf_road,Mid-high,1.006783457,4.97,19.36735478,8.118885673,0.458717446,,8.118885673,17.69909938,0.022829143,0.235009512,0.514614644,,0.116543545,9.142641754,0.127576335,0.065573642,0.001647911,0.010778133,,0.00056171,20.61513042,0.333386586,92.83246978,0.022984004,0.236603688,0.51810551,,0.117334113,9.204660469,0.128441743,0.066018458,0.001659089,0.010851246,,0.00056552,20.75497227,0.335648099
41,agric_ref 5b,Long-term,uninf_road,Mid-high,1.00948082,5.32,25.26396351,10.23606838,0.700627943,,10.23606838,14.6098489,0.038292772,0.361481354,0.883207829,0.381576941,0.139593763,12.56549248,0.237872389,0.09449443,0.003469425,0.013800958,0.004618768,0.000676949,28.99699622,0.290489799,89.0354493,0.038655819,0.364908493,0.891581363,0.385194603,0.140917227,12.68462365,0.240127614,0.095390315,0.003502318,0.013931803,0.004662558,0.000683367,29.27191151,0.29324388
43,agric_ref 6a,Long-term,uninf_road,Mid-high,1.00719651,4.79,20.81791411,9.153529656,0.515887277,,9.153529656,17.74327467,0.030594748,0.291626242,0.595430329,0.0059384,0.092807123,9.678321228,0.160582489,0.075156725,0.003324025,0.01076075,0.006575788,0.00082619,26.84965919,0.107935268,91.59445407,0.030814924,0.293724933,0.59971535,0.005981135,0.09347501,9.747971368,0.161738122,0.075697591,0.003347946,0.01083819,0.006623111,0.000832135,27.04288304,0.108712026
46,agric_ref 7a (abira),Rural,uninf_road,Rural,1.006559224,5.05,24.36542689,11.56798732,1.039285007,,11.56798732,11.13071703,0.030993624,0.371564946,1.845767457,0.665023135,0.158333249,7.09456281,0.13692818,0.110011186,0.002739997,0.008585391,0.014035458,0.000522572,26.93880841,0.041313192,89.62331201,0.031196918,0.374002123,1.857874258,0.669385171,0.159371792,7.141097635,0.137826322,0.110732774,0.002757969,0.008641704,0.01412752,0.000526,27.11550608,0.041584175
47,agric_ref 7b (abira),Rural,uninf_road,Rural,1.009265902,6.81,30.10273398,13.78268868,1.101685822,0.05938465,13.72330403,12.45664032,0.076130182,0.546003578,2.163894327,1.026113417,0.113532768,11.23281331,0.196416106,0.143186259,0.002371029,0.011806417,0.007744676,0.000698284,32.87849852,0.455543482,88.099631,0.076835597,0.551062794,2.18394476,1.035621284,0.114584751,11.33689546,0.198236078,0.144513009,0.002392999,0.011915814,0.007816437,0.000704754,33.18314747,0.459764503
48,agric_ref 7c (abira),Rural,uninf_road,Rural,1.009978219,5.96,36.67329784,16.44865913,1.228958697,,16.44865913,13.38422452,0.050227603,0.383488934,1.375967463,0.561260516,0.074192806,6.891859205,0.101593562,0.094917764,0.00254324,0.008894786,0.011009965,0.00030613,21.31421465,0.295903166,91.81004818,0.050728785,0.387315471,1.389697168,0.566860897,0.074933118,6.960627687,0.102607285,0.095864874,0.002568617,0.00898354,0.011119825,0.000309184,21.52689256,0.298855753
